GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis,org.apache.ibatis.cache.decorators,SerializedCache.CustomObjectInputStream,8,0,0,0,3,0,2,0,2,0
mybatis,org.apache.ibatis.cache.decorators,LoggingCache,101,0,4,0,24,0,13,0,11,0
mybatis,org.apache.ibatis.cache.decorators,WeakCache.WeakEntry,8,0,0,0,3,0,1,0,1,0
mybatis,org.apache.ibatis.cache.decorators,SerializedCache,142,0,6,0,33,0,15,0,12,0
mybatis,org.apache.ibatis.cache.decorators,SoftCache,143,0,8,0,38,0,14,0,10,0
mybatis,org.apache.ibatis.cache.decorators,BlockingCache,155,0,10,0,40,0,18,0,13,0
mybatis,org.apache.ibatis.cache.decorators,SoftCache.SoftEntry,8,0,0,0,3,0,1,0,1,0
mybatis,org.apache.ibatis.cache.decorators,LruCache.new LinkedHashMap() {...},31,0,4,0,5,0,4,0,2,0
mybatis,org.apache.ibatis.cache.decorators,WeakCache,118,0,8,0,34,0,14,0,10,0
mybatis,org.apache.ibatis.cache.decorators,TransactionalCache,165,0,14,0,49,0,21,0,14,0
mybatis,org.apache.ibatis.cache.decorators,FifoCache,74,0,2,0,23,0,11,0,10,0
mybatis,org.apache.ibatis.cache.decorators,LruCache,80,0,2,0,23,0,11,0,10,0
mybatis,org.apache.ibatis.cache.decorators,ScheduledCache,86,0,4,0,26,0,14,0,12,0
mybatis,org.apache.ibatis.cache.decorators,SynchronizedCache,45,0,0,0,14,0,10,0,10,0
mybatis,org.apache.ibatis.datasource,DataSourceException,16,0,0,0,8,0,4,0,4,0
mybatis,org.apache.ibatis.executor.statement,StatementUtil,30,0,10,0,12,0,7,0,2,0
mybatis,org.apache.ibatis.executor.statement,CallableStatementHandler,201,0,18,0,42,0,17,0,8,0
mybatis,org.apache.ibatis.executor.statement,RoutingStatementHandler,98,0,4,0,20,0,12,0,9,0
mybatis,org.apache.ibatis.executor.statement,PreparedStatementHandler,112,0,6,0,29,0,10,0,7,0
mybatis,org.apache.ibatis.executor.statement,RoutingStatementHandler.new Object() {...},26,0,0,0,1,0,1,0,1,0
mybatis,org.apache.ibatis.executor.statement,BaseStatementHandler,186,0,14,0,55,0,15,0,8,0
mybatis,org.apache.ibatis.executor.statement,SimpleStatementHandler,119,0,6,0,29,0,10,0,7,0
mybatis,org.apache.ibatis.mapping,MappedStatement,145,0,14,0,41,0,34,0,27,0
mybatis,org.apache.ibatis.mapping,DefaultDatabaseIdProvider,3,0,0,0,1,0,1,0,1,0
mybatis,org.apache.ibatis.mapping,ParameterMap,12,0,0,0,5,0,4,0,4,0
mybatis,org.apache.ibatis.mapping,ResultFlag,38,0,0,0,2,0,4,0,4,0
mybatis,org.apache.ibatis.mapping,ParameterMap.Builder,39,0,0,0,9,0,3,0,3,0
mybatis,org.apache.ibatis.mapping,ParameterMapping,109,0,0,0,23,0,11,0,11,0
mybatis,org.apache.ibatis.mapping,BoundSql,54,0,0,0,15,0,7,0,7,0
mybatis,org.apache.ibatis.mapping,Environment.Builder,29,0,0,0,9,0,5,0,5,0
mybatis,org.apache.ibatis.mapping,ResultMap.Builder.new Comparator() {...},25,0,0,0,4,0,2,0,2,0
mybatis,org.apache.ibatis.mapping,CacheBuilder,485,0,60,0,97,0,46,0,16,0
mybatis,org.apache.ibatis.mapping,Discriminator.Builder,68,0,14,0,11,0,10,0,3,0
mybatis,org.apache.ibatis.mapping,VendorDatabaseIdProvider,91,0,12,0,26,0,12,0,6,0
mybatis,org.apache.ibatis.mapping,ResultMap,43,0,0,0,16,0,14,0,14,0
mybatis,org.apache.ibatis.mapping,ResultSetType,57,0,0,0,8,0,5,0,5,0
mybatis,org.apache.ibatis.mapping,ResultMap.Builder,544,0,68,0,96,0,43,0,9,0
mybatis,org.apache.ibatis.mapping,SqlCommandType,78,0,0,0,2,0,4,0,4,0
mybatis,org.apache.ibatis.mapping,ParameterMapping.Builder,209,0,10,0,46,0,18,0,13,0
mybatis,org.apache.ibatis.mapping,ParameterMode,48,0,0,0,2,0,4,0,4,0
mybatis,org.apache.ibatis.mapping,ResultMapping,227,0,18,0,50,0,30,0,21,0
mybatis,org.apache.ibatis.mapping,Discriminator,15,0,0,0,5,0,4,0,4,0
mybatis,org.apache.ibatis.mapping,FetchType,48,0,0,0,2,0,4,0,4,0
mybatis,org.apache.ibatis.mapping,StatementType,48,0,0,0,2,0,4,0,4,0
mybatis,org.apache.ibatis.mapping,Environment,42,0,6,0,14,0,7,0,4,0
mybatis,org.apache.ibatis.mapping,ResultMapping.Builder,333,0,28,0,68,0,33,0,19,0
mybatis,org.apache.ibatis.mapping,MappedStatement.Builder,313,0,30,0,63,0,37,0,22,0
mybatis,org.apache.ibatis.reflection.property,PropertyNamer,102,0,22,0,13,0,16,0,5,0
mybatis,org.apache.ibatis.reflection.property,PropertyCopier,42,0,4,0,13,0,4,0,2,0
mybatis,org.apache.ibatis.reflection.property,PropertyTokenizer,92,0,6,0,20,0,11,0,8,0
mybatis,org.apache.ibatis.logging.jdk14,Jdk14LoggingImpl,48,0,0,0,15,0,8,0,8,0
mybatis,org.apache.ibatis.logging.commons,JakartaCommonsLoggingImpl,41,0,0,0,15,0,8,0,8,0
mybatis,org.apache.ibatis.logging.log4j,Log4jImpl,59,0,0,0,16,0,9,0,9,0
mybatis,org.apache.ibatis.jdbc,AbstractSQL.new Object() {...},33,0,0,0,1,0,1,0,1,0
mybatis,org.apache.ibatis.jdbc,AbstractSQL.SQLStatement.StatementType,58,0,0,0,2,0,4,0,4,0
mybatis,org.apache.ibatis.jdbc,RuntimeSqlException,16,0,0,0,8,0,4,0,4,0
mybatis,org.apache.ibatis.jdbc,SQL,5,0,0,0,2,0,2,0,2,0
mybatis,org.apache.ibatis.jdbc,SqlBuilder,125,0,0,0,50,0,25,0,25,0
mybatis,org.apache.ibatis.jdbc,AbstractSQL.SQLStatement,393,0,25,0,74,0,22,0,8,0
mybatis,org.apache.ibatis.jdbc,SelectBuilder,99,0,0,0,40,0,20,0,20,0
mybatis,org.apache.ibatis.jdbc,AbstractSQL,404,0,0,0,88,0,38,0,38,0
mybatis,org.apache.ibatis.jdbc,SqlRunner,410,0,32,0,95,0,27,0,11,0
mybatis,org.apache.ibatis.jdbc,ScriptRunner,579,0,60,0,158,0,58,0,28,0
mybatis,org.apache.ibatis.jdbc,Null,338,0,0,0,29,0,6,0,6,0
mybatis,org.apache.ibatis.jdbc,AbstractSQL.SafeAppendable,35,0,4,0,12,0,5,0,3,0
mybatis,org.apache.ibatis.plugin,PluginException,16,0,0,0,8,0,4,0,4,0
mybatis,org.apache.ibatis.plugin,InterceptorChain,36,0,2,0,9,0,5,0,4,0
mybatis,org.apache.ibatis.plugin,Invocation,29,0,0,0,9,0,5,0,5,0
mybatis,org.apache.ibatis.plugin,Plugin,216,0,18,0,41,0,14,0,5,0
mybatis,org.apache.ibatis.datasource.pooled,PooledConnection,191,0,24,0,49,0,34,0,22,0
mybatis,org.apache.ibatis.datasource.pooled,PooledDataSource,1224,0,86,0,262,0,97,0,54,0
mybatis,org.apache.ibatis.datasource.pooled,PooledDataSourceFactory,8,0,0,0,3,0,1,0,1,0
mybatis,org.apache.ibatis.datasource.pooled,PoolState,293,0,10,0,49,0,17,0,12,0
mybatis,org.apache.ibatis.builder.xml,XMLStatementBuilder,500,0,34,0,99,0,26,0,9,0
mybatis,org.apache.ibatis.builder.xml,XMLConfigBuilder,1095,0,104,0,241,0,77,0,25,0
mybatis,org.apache.ibatis.builder.xml,XMLMapperBuilder,1033,0,76,0,243,0,65,0,27,0
mybatis,org.apache.ibatis.builder.xml,XMLIncludeTransformer,268,0,34,0,57,0,23,0,6,0
mybatis,org.apache.ibatis.builder.xml,XMLMapperEntityResolver,68,0,12,0,19,0,9,0,3,0
mybatis,org.apache.ibatis.logging,LogException,16,0,0,0,8,0,4,0,4,0
mybatis,org.apache.ibatis.logging,LogFactory,144,0,4,0,43,0,16,0,14,0
mybatis,org.apache.ibatis.logging,LogFactory.new Runnable() {...},5,0,0,0,3,0,2,0,2,0
mybatis,org.apache.ibatis.logging,LogFactory.new Runnable() {...},5,0,0,0,3,0,2,0,2,0
mybatis,org.apache.ibatis.logging,LogFactory.new Runnable() {...},5,0,0,0,3,0,2,0,2,0
mybatis,org.apache.ibatis.logging,LogFactory.new Runnable() {...},5,0,0,0,3,0,2,0,2,0
mybatis,org.apache.ibatis.logging,LogFactory.new Runnable() {...},5,0,0,0,3,0,2,0,2,0
mybatis,org.apache.ibatis.logging,LogFactory.new Runnable() {...},5,0,0,0,3,0,2,0,2,0
mybatis,org.apache.ibatis.reflection.wrapper,DefaultObjectWrapperFactory,10,0,0,0,3,0,3,0,3,0
mybatis,org.apache.ibatis.reflection.wrapper,BeanWrapper,377,0,24,0,78,0,28,0,16,0
mybatis,org.apache.ibatis.reflection.wrapper,BaseWrapper,303,0,46,0,56,0,28,0,5,0
mybatis,org.apache.ibatis.reflection.wrapper,MapWrapper,218,0,22,0,50,0,25,0,14,0
mybatis,org.apache.ibatis.reflection.wrapper,CollectionWrapper,60,0,0,0,18,0,14,0,14,0
mybatis,org.apache.ibatis.scripting.defaults,RawSqlSource,49,0,2,0,11,0,5,0,4,0
mybatis,org.apache.ibatis.scripting.defaults,DefaultParameterHandler,157,0,16,0,34,0,11,0,3,0
mybatis,org.apache.ibatis.scripting.defaults,RawLanguageDriver,36,0,2,0,10,0,5,0,4,0
mybatis,org.apache.ibatis.transaction.jdbc,JdbcTransactionFactory,16,0,0,0,4,0,4,0,4,0
mybatis,org.apache.ibatis.transaction.jdbc,JdbcTransaction,225,0,32,0,53,0,27,0,11,0
mybatis,org.apache.ibatis.datasource.unpooled,UnpooledDataSource.DriverProxy,38,0,0,0,10,0,8,0,8,0
mybatis,org.apache.ibatis.datasource.unpooled,UnpooledDataSourceFactory,130,0,20,0,31,0,15,0,5,0
mybatis,org.apache.ibatis.datasource.unpooled,UnpooledDataSource,296,0,18,0,96,0,44,0,35,0
mybatis,org.apache.ibatis.binding,MapperRegistry,158,0,12,0,32,0,13,0,7,0
mybatis,org.apache.ibatis.binding,MapperMethod,513,0,58,0,90,0,40,0,9,0
mybatis,org.apache.ibatis.binding,MapperProxy,131,0,12,0,30,0,11,0,5,0
mybatis,org.apache.ibatis.binding,MapperMethod.new Object() {...},40,0,0,0,1,0,1,0,1,0
